,Year,Month,Day,Year+Month,Month+Day,Order
276,2012,04,18,201204,418,80000
282,2012,05,21,201205,521,70000
289,2012,06,26,201206,626,80000
292,2012,07,17,201207,717,100000
296,2012,08,24,201208,824,100000
301,2012,10,04,201210,1004,80000
306,2012,10,29,201210,1029,80000
939,2012,01,12,201201,112,84000
940,2012,01,20,201201,120,1000
941,2012,02,03,201202,203,1000
942,2012,02,07,201202,207,15000
943,2012,02,08,201202,208,1000
944,2012,02,17,201202,217,1000
945,2012,05,07,201205,507,30000
946,2012,06,06,201206,606,1000
947,2012,06,08,201206,608,10000
948,2012,07,10,201207,710,28000
949,2012,08,23,201208,823,5000
950,2012,09,10,201209,910,10000
951,2012,09,24,201209,924,6000
952,2012,09,25,201209,925,1000
953,2012,10,12,201210,1012,21000
954,2012,10,17,201210,1017,2000
955,2012,11,14,201211,1114,5000
980,2012,06,05,201206,605,1000
981,2012,08,02,201208,802,1000
982,2012,08,30,201208,830,3000
983,2012,11,16,201211,1116,50000
1042,2012,09,11,201209,911,1000
1097,2012,03,09,201203,309,1000
2339,2012,01,06,201201,106,50000
2342,2012,02,07,201202,207,50000
2343,2012,03,26,201203,326,50000
2344,2012,04,17,201204,417,50000
2345,2012,05,21,201205,521,50000
2348,2012,07,04,201207,704,50000
2349,2012,07,27,201207,727,1000
2350,2012,08,27,201208,827,50000
2577,2012,01,05,201201,105,2000
2578,2012,01,11,201201,111,1000
2579,2012,01,10,201201,110,1000
2580,2012,01,13,201201,113,75000
2581,2012,01,26,201201,126,1000
2582,2012,01,13,201201,113,1000
2583,2012,01,16,201201,116,75000
2584,2012,01,17,201201,117,1000
2585,2012,01,24,201201,124,1000
2586,2012,01,20,201201,120,1000
2587,2012,01,19,201201,119,75000
2588,2012,02,01,201202,201,20000
2589,2012,02,06,201202,206,1000
2590,2012,01,25,201201,125,75000
2591,2012,01,25,201201,125,1000
2592,2012,02,02,201202,202,1000
2593,2012,01,25,201201,125,750000
2594,2012,01,27,201201,127,75000
2595,2012,01,30,201201,130,225000
2596,2012,02,07,201202,207,2000
2597,2012,02,02,201202,202,1000
2598,2012,02,02,201202,202,75000
2599,2012,02,20,201202,220,1000
2600,2012,02,08,201202,208,75000
2601,2012,02,09,201202,209,75000
2602,2012,02,09,201202,209,300000
2603,2012,02,10,201202,210,1000
2604,2012,02,14,201202,214,75000
2605,2012,02,22,201202,222,2000
2606,2012,02,22,201202,222,1000
2607,2012,02,16,201202,216,75000
2608,2012,02,17,201202,217,1000
2609,2012,02,20,201202,220,75000
2610,2012,02,23,201202,223,75000
2611,2012,02,27,201202,227,75000
2612,2012,02,27,201202,227,1000
2613,2012,03,09,201203,309,1000
2614,2012,03,08,201203,308,1000
2615,2012,03,01,201203,301,150000
2616,2012,03,02,201203,302,75000
2617,2012,03,05,201203,305,150000
2618,2012,03,05,201203,305,1000
2619,2012,03,14,201203,314,2000
2620,2012,03,08,201203,308,2000
2621,2012,03,14,201203,314,1000
2622,2012,03,08,201203,308,75000
2623,2012,03,12,201203,312,1000
2624,2012,03,13,201203,313,75000
2625,2012,03,16,201203,316,150000
2626,2012,04,10,201204,410,1000
2627,2012,03,19,201203,319,1000
2628,2012,03,21,201203,321,75000
2629,2012,03,22,201203,322,5000
2630,2012,03,26,201203,326,75000
2631,2012,03,27,201203,327,75000
2632,2012,03,27,201203,327,1000
2633,2012,04,12,201204,412,6000
2634,2012,04,04,201204,404,2000
2635,2012,03,30,201203,330,150000
2636,2012,04,03,201204,403,75000
2637,2012,04,03,201204,403,1000
2638,2012,04,05,201204,405,150000
2639,2012,04,10,201204,410,75000
2640,2012,05,01,201205,501,2000
2641,2012,04,11,201204,411,75000
2642,2012,04,11,201204,411,1000
2643,2012,04,13,201204,413,150000
2644,2012,04,13,201204,413,1000
2645,2012,04,16,201204,416,3000
2646,2012,04,17,201204,417,75000
2647,2012,05,08,201205,508,20000
2648,2012,04,18,201204,418,75000
2649,2012,04,18,201204,418,2000
2650,2012,04,20,201204,420,75000
2651,2012,04,23,201204,423,1000
2652,2012,05,16,201205,516,1000
2653,2012,04,24,201204,424,75000
2654,2012,04,25,201204,425,525000
2655,2012,05,01,201205,501,1000
2656,2012,05,15,201205,515,2000
2657,2012,05,01,201205,501,75000
2658,2012,05,07,201205,507,225000
2659,2012,05,09,201205,509,75000
2660,2012,05,17,201205,517,1000
2661,2012,05,10,201205,510,300000
2662,2012,05,14,201205,514,150000
2663,2012,05,14,201205,514,1000
2664,2012,05,16,201205,516,75000
2665,2012,05,25,201205,525,1000
2666,2012,05,23,201205,523,1000
2667,2012,05,21,201205,521,1000
2668,2012,05,22,201205,522,75000
2669,2012,05,23,201205,523,75000
2670,2012,05,24,201205,524,225000
2671,2012,06,06,201206,606,1000
2672,2012,05,25,201205,525,150000
2673,2012,05,28,201205,528,1000
2674,2012,06,07,201206,607,2000
2675,2012,05,29,201205,529,5000
2676,2012,05,30,201205,530,1000
2677,2012,06,06,201206,606,1000
2678,2012,06,04,201206,604,75000
2679,2012,06,04,201206,604,1000
2680,2012,06,15,201206,615,1000
2681,2012,06,18,201206,618,1000
2682,2012,06,06,201206,606,75000
2683,2012,06,06,201206,606,1000
2684,2012,06,07,201206,607,75000
2685,2012,06,11,201206,611,75000
2686,2012,06,12,201206,612,1000
2687,2012,06,13,201206,613,1000
2688,2012,06,20,201206,620,1000
2689,2012,06,14,201206,614,375000
2690,2012,06,18,201206,618,75000
2691,2012,06,19,201206,619,75000
2692,2012,06,19,201206,619,1000
2693,2012,06,20,201206,620,75000
2694,2012,06,27,201206,627,1000
2695,2012,06,21,201206,621,75000
2696,2012,07,06,201207,706,1000
2697,2012,06,22,201206,622,10000
2698,2012,09,06,201209,906,1000
2699,2012,07,03,201207,703,2000
2700,2012,06,27,201206,627,75000
2701,2012,06,27,201206,627,1000
2702,2012,06,28,201206,628,75000
2703,2012,06,29,201206,629,75000
2704,2012,06,29,201206,629,1000
2705,2012,07,04,201207,704,75000
2706,2012,07,05,201207,705,75000
2707,2012,07,17,201207,717,1000
2708,2012,07,09,201207,709,1000
2709,2012,07,10,201207,710,75000
2710,2012,07,25,201207,725,1000
2711,2012,07,11,201207,711,75000
2712,2012,07,18,201207,718,1000
2713,2012,07,13,201207,713,75000
2714,2012,07,18,201207,718,300000
2715,2012,07,19,201207,719,75000
2716,2012,07,19,201207,719,1000
2717,2012,07,27,201207,727,1000
2718,2012,07,24,201207,724,75000
2719,2012,07,24,201207,724,1000
2720,2012,07,31,201207,731,1000
2721,2012,07,26,201207,726,3000
2722,2012,07,30,201207,730,75000
2723,2012,07,31,201207,731,75000
2724,2012,08,01,201208,801,10000
2725,2012,08,02,201208,802,1000
2726,2012,08,07,201208,807,75000
2727,2012,08,07,201208,807,1000
2728,2012,08,20,201208,820,1000
2729,2012,08,09,201208,809,75000
2730,2012,08,20,201208,820,75000
2731,2012,08,21,201208,821,1000
2732,2012,08,31,201208,831,20000
2733,2012,08,22,201208,822,150000
2734,2012,08,28,201208,828,1000
2735,2012,08,29,201208,829,75000
2736,2012,08,30,201208,830,150000
2737,2012,08,30,201208,830,3000
2738,2012,08,31,201208,831,75000
2739,2012,09,14,201209,914,1000
2740,2012,09,04,201209,904,75000
2741,2012,09,11,201209,911,1000
2742,2012,09,06,201209,906,75000
2743,2012,09,12,201209,912,1000
2744,2012,09,12,201209,912,300000
2745,2012,09,14,201209,914,75000
2746,2012,09,14,201209,914,1000
2747,2012,09,18,201209,918,75000
2748,2012,09,18,201209,918,20000
2749,2012,09,19,201209,919,75000
2750,2012,09,20,201209,920,150000
2751,2012,09,25,201209,925,1000
2752,2012,09,21,201209,921,150000
2753,2012,09,25,201209,925,75000
2754,2012,09,25,201209,925,1000
2755,2012,09,27,201209,927,75000
2756,2012,09,28,201209,928,150000
2757,2012,10,02,201210,1002,75000
2758,2012,10,12,201210,1012,1000
2759,2012,10,02,201210,1002,1000
2760,2012,10,03,201210,1003,1000
2761,2012,10,03,201210,1003,2000
2762,2012,10,05,201210,1005,1000
2763,2012,10,09,201210,1009,75000
2764,2012,10,09,201210,1009,75000
2765,2012,10,11,201210,1011,75000
2766,2012,10,26,201210,1026,1000
2767,2012,10,15,201210,1015,1000
2768,2012,10,24,201210,1024,1000
2769,2012,10,17,201210,1017,75000
2770,2012,10,24,201210,1024,1000
2771,2012,10,17,201210,1017,150000
2772,2012,10,19,201210,1019,75000
2773,2012,10,22,201210,1022,1000
2774,2012,10,23,201210,1023,1000
2775,2012,10,26,201210,1026,75000
2776,2012,11,01,201211,1101,1000
2777,2012,11,01,201211,1101,150000
2778,2012,11,01,201211,1101,2000
2779,2012,11,02,201211,1102,225000
2780,2012,11,05,201211,1105,1000
2781,2012,11,09,201211,1109,11000
2782,2012,11,08,201211,1108,1000
2783,2012,11,12,201211,1112,75000
2784,2012,11,16,201211,1116,75000
2785,2012,11,19,201211,1119,1000
2786,2012,11,19,201211,1119,75000
2787,2012,11,21,201211,1121,1000
2788,2012,11,26,201211,1126,75000
2789,2012,11,27,201211,1127,1000
2790,2012,11,28,201211,1128,75000
2791,2012,11,28,201211,1128,375000
2792,2012,12,03,201212,1203,150000
2793,2012,12,06,201212,1206,1000
2794,2012,12,07,201212,1207,75000
2795,2012,12,12,201212,1212,2000
2796,2012,12,21,201212,1221,1000
2797,2012,12,13,201212,1213,75000
2798,2012,12,14,201212,1214,1000
2799,2012,12,19,201212,1219,1000
2800,2012,12,25,201212,1225,2000
2801,2012,12,19,201212,1219,225000
2802,2012,12,21,201212,1221,75000
2803,2012,12,26,201212,1226,1000
2804,2012,12,26,201212,1226,10000
2805,2012,12,26,201212,1226,75000
4456,2012,01,12,201201,112,6000
4457,2012,01,16,201201,116,50000
4458,2012,01,16,201201,116,14000
4459,2012,01,24,201201,124,39000
4460,2012,01,25,201201,125,25000
4461,2012,01,25,201201,125,20000
4462,2012,02,20,201202,220,20000
4463,2012,01,31,201201,131,25000
4464,2012,02,07,201202,207,25000
4465,2012,01,31,201201,131,12000
4466,2012,02,07,201202,207,35000
4467,2012,02,13,201202,213,25000
4468,2012,02,13,201202,213,13000
4469,2012,02,15,201202,215,1000
4470,2012,02,21,201202,221,60000
4471,2012,02,23,201202,223,50000
4472,2012,03,05,201203,305,50000
4473,2012,02,28,201202,228,10000
4474,2012,03,01,201203,301,1000
4475,2012,03,06,201203,306,11000
4476,2012,03,26,201203,326,25000
4477,2012,03,12,201203,312,12000
4478,2012,03,15,201203,315,1000
4479,2012,04,04,201204,404,25000
4480,2012,03,21,201203,321,7000
4481,2012,03,22,201203,322,1000
4482,2012,03,30,201203,330,25000
4483,2012,03,21,201203,321,20000
4484,2012,04,11,201204,411,20000
4485,2012,05,10,201205,510,20000
4486,2012,03,27,201203,327,11000
4487,2012,04,04,201204,404,25000
4488,2012,04,05,201204,405,25000
4489,2012,04,02,201204,402,10000
4490,2012,04,04,201204,404,1000
4491,2012,04,09,201204,409,25000
4492,2012,04,09,201204,409,15000
4493,2012,04,17,201204,417,11000
4494,2012,04,20,201204,420,25000
4495,2012,04,27,201204,427,25000
4496,2012,04,23,201204,423,34000
4497,2012,06,01,201206,601,20000
4498,2012,05,01,201205,501,11000
4499,2012,05,14,201205,514,10000
4500,2012,05,21,201205,521,25000
4501,2012,05,22,201205,522,10000
4502,2012,05,29,201205,529,8000
4503,2012,06,04,201206,604,9000
4504,2012,06,05,201206,605,25000
4505,2012,06,11,201206,611,8000
4506,2012,06,21,201206,621,1000
4507,2012,06,20,201206,620,20000
4508,2012,07,04,201207,704,20000
4509,2012,06,19,201206,619,10000
4510,2012,06,20,201206,620,25000
4511,2012,06,26,201206,626,36000
4512,2012,07,02,201207,702,25000
4513,2012,07,04,201207,704,10000
4514,2012,07,09,201207,709,15000
4515,2012,07,18,201207,718,14000
4516,2012,07,23,201207,723,20000
4517,2012,07,25,201207,725,1000
